stock_id,title,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,emission,departure_port,trade_term,registration_date,status,source
JB-5404,前途K50 2018款 标准型,前途,前途K50 2018款 标准型,2020,39000,Petrol,自动,141400,轿车,,,,-,上海港,FOB,2020-09,published,che168 m-site (car 57356404)
JB-6391,智己LS6 2023款 Max 标准版,智己,智己LS6 2023款 Max 标准版,2023,48000,Petrol,自动,43100,轿车,,,,-,上海港,FOB,2023-12,published,che168 m-site (car 58337391)
JB-6303,雷凌 2023款 TNGA 1.5L CVT进取版,雷凌,雷凌 2023款 TNGA 1.5L CVT进取版,2024,46900,Petrol,自动,11200,轿车,,,1.5L,国VI,上海港,FOB,2024-09,published,che168 m-site (car 59637303)
JB-5741,极氪007 2025款 长续航后驱智驾版 100kWh,极氪,极氪007 2025款 长续航后驱智驾版 100kWh,2024,17100,Petrol,自动,43100,轿车,,,,-,上海港,FOB,2024-10,published,che168 m-site (car 59396741)
JB-7561,星越L 2024款 2.0TD 高功自动两驱天际版,星越L,星越L 2024款 2.0TD 高功自动两驱天际版,2023,26800,Petrol,自动,16600,轿车,,,2.0L,国VI,上海港,FOB,2023-10,published,che168 m-site (car 59246561)
JB-8559,缤越 2025款 缤越L 1.5TD DCT 星钻,缤越,缤越 2025款 缤越L 1.5TD DCT 星钻,2025,9400,Petrol,自动,11600,轿车,,,1.5L,国VI,上海港,FOB,2025-08,published,che168 m-site (car 59635559)
JB-8332,凯迪拉克CT5 2022款 28T 豪华型（标准版）,凯迪拉克,凯迪拉克CT5 2022款 28T 豪华型（标准版）,2023,42600,Petrol,自动,23000,轿车,,,2.0L,国VI,上海港,FOB,2023-04,published,che168 m-site (car 59635332)
JB-8286,普拉多 2026款 2.4T 全能TX版 5座,普拉多,普拉多 2026款 2.4T 全能TX版 5座,2026,7000,Petrol,自动,78700,SUV,,,2.4L,国VI,上海港,FOB,2026-05,published,che168 m-site (car 59635286)
JB-7752,五菱之光 2015款 1.2L 实用型LSI,五菱,五菱之光 2015款 1.2L 实用型LSI,2017,57200,Petrol,手动,2300,轿车,,,1.2L,国IV/国V,上海港,FOB,2017-10,published,che168 m-site (car 59634752)
JB-8112,途观 2016款 280TSI 自动两驱丝绸之路风尚版,途观,途观 2016款 280TSI 自动两驱丝绸之路风尚版,2019,52000,Petrol,自动,10300,轿车,,,1.4L,国V,上海港,FOB,2019-01,published,che168 m-site (car 59635112)
JB-7902,五菱缤果 2024款 333km 灵犀互联款,五菱,五菱缤果 2024款 333km 灵犀互联款,2025,8000,Petrol,自动,14000,轿车,,,,-,上海港,FOB,2025-03,published,che168 m-site (car 59634902)
JB-7737,Polo 2014款 1.6L 自动30周年纪念版,Polo,Polo 2014款 1.6L 自动30周年纪念版,2015,120000,Petrol,自动,4300,轿车,,,1.6L,国V,上海港,FOB,2015-02,published,che168 m-site (car 59634737)
JB-7402,领动 2018款 1.6L 自动15周年特别版,领动,领动 2018款 1.6L 自动15周年特别版,2018,92000,Petrol,自动,6500,轿车,,,1.6L,国V,上海港,FOB,2018-01,published,che168 m-site (car 59634402)
JB-7394,海豹05 DM-i 2025款 DM-i 智驾版 120KM旗舰型,海豹05,海豹05 DM-i 2025款 DM-i 智驾版 120KM旗舰型,2025,6200,插混,自动,19500,轿车,,,,国VI,上海港,FOB,2025-03,published,che168 m-site (car 59634394)
JB-7389,胜达 2017款 2.4L 自动两驱智能型 5座,胜达,胜达 2017款 2.4L 自动两驱智能型 5座,2017,91000,Petrol,自动,5600,轿车,,,2.4L,国V,上海港,FOB,2017-10,published,che168 m-site (car 59634389)
JB-6344,朗逸 2017款 1.6L 自动风尚版,朗逸,朗逸 2017款 1.6L 自动风尚版,2019,40900,Petrol,自动,7500,轿车,,,1.6L,国V,上海港,FOB,2019-04,published,che168 m-site (car 59633344)
JB-6461,途观 2012款 1.8TSI 自动四驱菁英版,途观,途观 2012款 1.8TSI 自动四驱菁英版,2013,86400,Petrol,自动,3600,轿车,,,1.8L,国IV(国V),上海港,FOB,2013-04,published,che168 m-site (car 59449461)
