stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9100,哈弗H6 2021款 国潮版 1.5T 自动都市版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,39000,Petrol,自动,6917,SUV,,,1.5T,5,国VI,上海港,FOB,9100,,,published,"che168 wap (car 57972122, 城市石家庄)"
JB-9101,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,26000,Petrol,自动,10944,SUV,,,1.5T,5,国VI,上海港,FOB,9101,,,published,"che168 wap (car 58920898, 城市哈尔滨)"
JB-9102,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,38000,Petrol,自动,9139,SUV,,,1.5T,5,国VI,上海港,FOB,9102,,,published,"che168 wap (car 58971157, 城市哈尔滨)"
JB-9103,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,46000,Petrol,自动,8306,SUV,,,1.5T,5,国VI,上海港,FOB,9103,,,published,"che168 wap (car 59091701, 城市郑州)"
JB-9110,哈弗大狗 2022款 2.0T DCT四驱哮天犬追猎版,Haval Dargo 2022 2.0T,Haval Dargo 2022 2.0T,هافال دارجو Haval 2022 2.0T,Haval,哈弗大狗,2022,20000,Petrol,自动,13042,SUV,,,2.0T,5,国VI,上海港,FOB,9110,,,published,"che168 wap (car 57486553, 城市东莞)"
JB-9111,哈弗大狗 2021款 1.5T DCT两驱边牧-旺财版,Haval Dargo 2021 1.5T,Haval Dargo 2021 1.5T,هافال دارجو Haval 2021 1.5T,Haval,哈弗大狗,2021,31000,Petrol,自动,8125,SUV,,,1.5T,5,国VI,上海港,FOB,9111,,,published,"che168 wap (car 59117920, 城市佛山)"
JB-9112,哈弗大狗 2022款 1.5T DCT两驱马犬版,Haval Dargo 2022 1.5T,Haval Dargo 2022 1.5T,هافال دارجو Haval 2022 1.5T,Haval,哈弗大狗,2022,20000,Petrol,自动,9569,SUV,,,1.5T,5,国VI,上海港,FOB,9112,,,published,"che168 wap (car 59137659, 城市石家庄)"
JB-9113,哈弗大狗 2024款 2.0T DCT中华田园犬版,Haval Dargo 2024 2.0T,Haval Dargo 2024 2.0T,هافال دارجو Haval 2024 2.0T,Haval,哈弗大狗,2024,16000,Petrol,自动,13444,SUV,,,2.0T,5,国VI,上海港,FOB,9113,,,published,"che168 wap (car 59235311, 城市昆明)"
JB-9120,坦克300 2024款 2.0T 征服者,Tank 300 2024 2.0T,Tank 300 2024 2.0T,تانك 300 Tank 2024 2.0T,Tank,坦克300,2024,35000,Petrol,自动,19306,轿车,,,2.0T,5,国VI,上海港,FOB,9120,,,published,"che168 wap (car 57878157, 城市沈阳)"
JB-9121,坦克300 2021款 越野版 2.0T 征服者,Tank 300 2021 2.0T,Tank 300 2021 2.0T,تانك 300 Tank 2021 2.0T,Tank,坦克300,2021,33800,Petrol,自动,18472,轿车,,,2.0T,5,国VI,上海港,FOB,9121,,,published,"che168 wap (car 57948775, 城市合肥)"
JB-9122,坦克300 2023款 城市版 2.0T 很有型,Tank 300 2023 2.0T,Tank 300 2023 2.0T,تانك 300 Tank 2023 2.0T,Tank,坦克300,2023,28000,Petrol,自动,19417,轿车,,,2.0T,5,国VI,上海港,FOB,9122,,,published,"che168 wap (car 58161371, 城市东莞)"
JB-9123,坦克300 2021款 越野版 2.0T 征服者,Tank 300 2021 2.0T,Tank 300 2021 2.0T,تانك 300 Tank 2021 2.0T,Tank,坦克300,2021,40000,Petrol,自动,18028,轿车,,,2.0T,5,国VI,上海港,FOB,9123,,,published,"che168 wap (car 58251276, 城市东莞)"
JB-9130,炮 2021款 2.0T乘用全球版自动柴油四驱尊享型标箱GW4D20M,Great Wall Poer 2021,Great Wall Poer 2021,باور Great Wall 2021,Great Wall,炮,2021,46000,柴油,自动,12194,轿车,,,2.0T,5,国VI,上海港,FOB,9130,,,published,"che168 wap (car 53654402, 城市石家庄)"
JB-9131,炮 2023款 2.0T越野版自动汽油四驱珠峰版,Great Wall Poer 2023,Great Wall Poer 2023,باور Great Wall 2023,Great Wall,炮,2023,30000,Petrol,自动,16528,轿车,,,2.0T,5,国VI,上海港,FOB,9131,,,published,"che168 wap (car 58850415, 城市邯郸)"
