stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9400,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,وولينغ هونغقوانغ ميني إي في Wuling 2022 GAMEBOY 200km,Wuling,宏光MINIEV,2022,40000,纯电,自动,3306,轿车,,,,5,国VI,上海港,FOB,9400,,,published,"che168 wap (car 58831952, 城市常州)"
JB-9401,宏光MINIEV 2020款 悦享款 磷酸铁锂,Wuling Hongguang Mini EV 2020,Wuling Hongguang Mini EV 2020,وولينغ هونغقوانغ ميني إي في Wuling 2020,Wuling,宏光MINIEV,2020,41000,纯电,自动,2083,轿车,,,,5,国VI,上海港,FOB,9401,,,published,"che168 wap (car 59104104, 城市郑州)"
JB-9402,宏光MINIEV 2025款 第四代 四门版 进阶款,Wuling Hongguang Mini EV 2025,Wuling Hongguang Mini EV 2025,وولينغ هونغقوانغ ميني إي في Wuling 2025,Wuling,宏光MINIEV,2025,10000,纯电,自动,5069,轿车,,,,5,国VI,上海港,FOB,9402,,,published,"che168 wap (car 59155220, 城市无锡)"
JB-9420,AION Y 2021款 70 畅享活力版,Aion Y AION Y 2021 70,Aion Y AION Y 2021 70,إيون Y Aion AION Y 2021 70,Aion,AION Y,2021,170000,Petrol,自动,6361,轿车,,,,5,国VI,上海港,FOB,9420,,,published,"che168 wap (car 58809001, 城市东莞)"
JB-9421,AION Y 2023款 Plus 510 乐享版,Aion Y AION Y 2023 Plus 510,Aion Y AION Y 2023 Plus 510,إيون Y Aion AION Y 2023 Plus 510,Aion,AION Y,2023,52000,Petrol,自动,10208,轿车,,,,5,国VI,上海港,FOB,9421,,,published,"che168 wap (car 59272402, 城市海口)"
JB-9422,AION Y 2023款 Younger 星耀版,Aion Y AION Y 2023 Younger,Aion Y AION Y 2023 Younger,إيون Y Aion AION Y 2023 Younger,Aion,AION Y,2023,60000,Petrol,自动,8861,轿车,,,,5,国VI,上海港,FOB,9422,,,published,"che168 wap (car 59337969, 城市东莞)"
JB-9430,帝豪GL 2020款 1.4T CVT豪华型,Geely Emgrand 2020 1.4T,Geely Emgrand 2020 1.4T,إمغراند Geely 2020 1.4T,Geely,帝豪,2020,50000,Petrol,自动,4417,轿车,,,1.4T,5,国VI,上海港,FOB,9430,,,published,"che168 wap (car 57634580, 城市重庆)"
JB-9431,帝豪GL 2019款 1.4T CVT尊贵智享型,Geely Emgrand 2019 1.4T,Geely Emgrand 2019 1.4T,إمغراند Geely 2019 1.4T,Geely,帝豪,2019,64800,Petrol,自动,4139,轿车,,,1.4T,5,国VI,上海港,FOB,9431,,,published,"che168 wap (car 58224636, 城市温州)"
JB-9432,帝豪L HiP 2024款 龙腾版 1.5TD-DHT Pro 100KM 超越型,Geely Emgrand HiP 2024 1.5TD-DHT Pro 100KM,Geely Emgrand HiP 2024 1.5TD-DHT Pro 100KM,إمغراند Geely HiP 2024 1.5TD-DHT Pro 100KM,Geely,帝豪,2024,63700,Petrol,自动,6917,轿车,,,1.5T,5,国VI,上海港,FOB,9432,,,published,"che168 wap (car 58637798, 城市天津)"
JB-9440,逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,Changan Eado 2021 PLUS 1.4T GDI,Changan Eado 2021 PLUS 1.4T GDI,إيدو Changan 2021 PLUS 1.4T GDI,Changan,逸动,2021,36000,Petrol,自动,3444,SUV,,,1.4T,5,国VI,上海港,FOB,9440,,,published,"che168 wap (car 58048089, 城市宁波)"
