stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-8250,哈弗H6 2021款 国潮版 1.5T 自动都市版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,39000,Petrol,自动,6917,SUV,,,1.5T,5,国VI,上海港,FOB,8250,,,published,"che168 wap (car 57972122, 城市石家庄)"
JB-8260,哈弗大狗 2022款 2.0T DCT四驱哮天犬追猎版,Haval Dargo 2022 2.0T,Haval Dargo 2022 2.0T,هافال دارجو Haval 2022 2.0T,Haval,哈弗大狗,2022,20000,Petrol,自动,13042,SUV,,,2.0T,5,国VI,上海港,FOB,8260,,,published,"che168 wap (car 57486553, 城市东莞)"
JB-8270,哈弗初恋 2021款 1.5T 自动大二版,Haval Jolion 2021 1.5T,Haval Jolion 2021 1.5T,هافال جوليون Haval 2021 1.5T,Haval,哈弗初恋,2021,50800,Petrol,自动,6778,SUV,,,1.5T,5,国VI,上海港,FOB,8270,,,published,"che168 wap (car 58247316, 城市保定)"
JB-8280,坦克300 2024款 2.0T 征服者,Tank 300 2024 2.0T,Tank 300 2024 2.0T,تانك 300 Tank 2024 2.0T,Tank,坦克300,2024,35000,Petrol,自动,19306,轿车,,,2.0T,5,国VI,上海港,FOB,8280,,,published,"che168 wap (car 57878157, 城市沈阳)"
JB-8300,宋PLUS新能源 2021款 DM-i 110KM 旗舰PLUS,BYD Song PLUS DM-i 2021 DM-i 110KM,BYD Song PLUS DM-i 2021 DM-i 110KM,بي واي دي سونغ بلس DM-i BYD 2021 DM-i 110KM,BYD,宋PLUS,2021,38800,插混,自动,9417,SUV,,,,5,国VI,上海港,FOB,8300,,,published,"che168 wap (car 58660822, 城市惠州)"
JB-8310,元PLUS 2022款 430KM 尊贵型,BYD Yuan PLUS 2022 430KM,BYD Yuan PLUS 2022 430KM,بي واي دي يوان بلس BYD 2022 430KM,BYD,元PLUS,2022,32000,Petrol,自动,10528,SUV,,,,5,国VI,上海港,FOB,8310,,,published,"che168 wap (car 58416239, 城市常州)"
JB-8320,海豚 2021款 405km 时尚版,BYD Dolphin 2021 405km,BYD Dolphin 2021 405km,بي واي دي دولفين BYD 2021 405km,BYD,海豚,2021,90000,Petrol,自动,6917,SUV,,,,5,国VI,上海港,FOB,8320,,,published,"che168 wap (car 58907919, 城市重庆)"
JB-8330,海鸥 2024款 荣耀版 305km 活力版,BYD Seagull 2024 305km,BYD Seagull 2024 305km,بي واي دي سيغول BYD 2024 305km,BYD,海鸥,2024,33000,Petrol,自动,6639,SUV,,,,5,国VI,上海港,FOB,8330,,,published,"che168 wap (car 58231235, 城市天津)"
JB-8340,汉 2020款 EV 四驱高性能版旗舰型,BYD Han 2020 EV,BYD Han 2020 EV,هان BYD 2020 EV,BYD,汉,2020,80000,纯电,自动,12472,轿车,,,,5,国VI,上海港,FOB,8340,,,published,"che168 wap (car 52186096, 城市昆明)"
JB-8360,秦PLUS 2024款 荣耀版 DM-i 55KM领先型,BYD Qin PLUS DM-i 2024 DM-i,BYD Qin PLUS DM-i 2024 DM-i,تشين بلس DM-i BYD 2024 DM-i,BYD,秦PLUS,2024,23000,插混,自动,8319,SUV,,,,5,国VI,上海港,FOB,8360,,,published,"che168 wap (car 57935018, 城市武汉)"
JB-8370,理想L6 2024款 Pro,Li Auto L6 2024 Pro,Li Auto L6 2024 Pro,لي أوتو L6 Li Auto 2024 Pro,Li Auto,理想L6,2024,63000,Petrol,自动,22194,SUV,,,,5,国VI,上海港,FOB,8370,,,published,"che168 wap (car 58863814, 城市佛山)"
JB-8380,理想L7 2025款 Max 智能焕新版,Li Auto L7 2025 Max,Li Auto L7 2025 Max,لي أوتو L7 Li Auto 2025 Max,Li Auto,理想L7,2025,21000,Petrol,自动,35667,SUV,,,,5,国VI,上海港,FOB,8380,,,published,"che168 wap (car 59084441, 城市济南)"
JB-8390,问界M7 2024款 1.5T 智驾四驱Ultra版 6座,AITO M7 2024 1.5T,AITO M7 2024 1.5T,إيتو M7 AITO 2024 1.5T,AITO,问界M7,2024,36000,Petrol,自动,25736,SUV,,,1.5T,5,国VI,上海港,FOB,8390,,,published,"che168 wap (car 58276539, 城市广州)"
JB-8400,长安CS75PLUS 2026款 智慧冠军版 1.5T 新蓝鲸 智航型,Changan CS75 PLUS 2026 1.5T,Changan CS75 PLUS 2026 1.5T,تشانجان CS75 PLUS Changan 2026 1.5T,Changan,长安CS75,2026,100,Petrol,自动,12500,SUV,,,1.5T,5,国VI,上海港,FOB,8400,,,published,"che168 wap (car 57767759, 城市无锡)"
JB-8410,瑞虎7 2023款 超能版 1.5T CVT超能勇士,Chery Tiggo 7 2023 1.5T,Chery Tiggo 7 2023 1.5T,تشيري تيجو 7 Chery 2023 1.5T,Chery,瑞虎7,2023,24000,Petrol,自动,11083,SUV,,,1.5T,5,国VI,上海港,FOB,8410,,,published,"che168 wap (car 58338459, 城市牡丹江)"
JB-8420,瑞虎8 2022款 1.5TCI 自动尊崇版 5座,Chery Tiggo 8 2022 1.5TCI,Chery Tiggo 8 2022 1.5TCI,تشيري تيجو 8 Chery 2022 1.5TCI,Chery,瑞虎8,2022,17000,Petrol,自动,8861,SUV,,,1.5T,5,国VI,上海港,FOB,8420,,,published,"che168 wap (car 57985846, 城市金华)"
JB-8430,博越L 2023款 1.5TD DCT尊贵型,Geely Boyue L 2023 1.5TD,Geely Boyue L 2023 1.5TD,جيلي بويو L Geely 2023 1.5TD,Geely,博越L,2023,40000,Petrol,自动,10667,SUV,,,1.5T,5,国VI,上海港,FOB,8430,,,published,"che168 wap (car 58057250, 城市太原)"
JB-8440,星越L 2021款 2.0TD DCT EVO两驱尊贵型,Geely Monjaro 2021 2.0TD DCT,Geely Monjaro 2021 2.0TD DCT,جيلي مونجارو Geely 2021 2.0TD DCT,Geely,星越L,2021,20000,纯电,自动,10667,SUV,,,2.0T,5,国VI,上海港,FOB,8440,,,published,"che168 wap (car 56315969, 城市温州)"
JB-8290,炮 2021款 2.0T乘用全球版自动柴油四驱尊享型标箱GW4D20M,Great Wall Poer 2021,Great Wall Poer 2021,باور Great Wall 2021,Great Wall,炮,2021,46000,柴油,自动,12194,轿车,,,2.0T,5,国VI,上海港,FOB,8290,,,published,"che168 wap (car 53654402, 城市石家庄)"
JB-8350,海豹05 DM-i 2025款 DM-i 智驾版 120KM旗舰型,BYD Seal 05 DM-i DM-i 2025 DM-i,BYD Seal 05 DM-i DM-i 2025 DM-i,سيل 05 DM-i BYD DM-i 2025 DM-i,BYD,海豹05,2025,9800,插混,自动,9167,轿车,,,,5,国VI,上海港,FOB,8350,,,published,"che168 wap (car 58878382, 城市武汉)"
