stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-8100,哈弗H6 2021款 国潮版 1.5T 自动都市版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,39000,Petrol,自动,6917,SUV,,,1.5T,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 57972122, 城市石家庄)"
JB-8101,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,38000,Petrol,自动,10250,SUV,,,1.5T,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 58971157, 城市哈尔滨)"
JB-8102,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,46000,Petrol,自动,8306,SUV,,,1.5T,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 59091701, 城市郑州)"
JB-8110,哈弗大狗 2022款 2.0T DCT四驱哮天犬追猎版,Haval Dargo 2022 2.0T,Haval Dargo 2022 2.0T,هافال دارجو Haval 2022 2.0T,Haval,哈弗大狗,2022,20000,Petrol,自动,13042,SUV,,,2.0T,5,国VI,上海港,FOB,8110,,,published,"che168 wap (car 57486553, 城市东莞)"
JB-8111,哈弗大狗 2024款 1.5T DCT边牧版,Haval Dargo 2024 1.5T,Haval Dargo 2024 1.5T,هافال دارجو Haval 2024 1.5T,Haval,哈弗大狗,2024,10000,Petrol,自动,12056,SUV,,,1.5T,5,国VI,上海港,FOB,8111,,,published,"che168 wap (car 58708777, 城市长沙)"
JB-8112,哈弗大狗 2024款 1.5T DCT边牧版,Haval Dargo 2024 1.5T,Haval Dargo 2024 1.5T,هافال دارجو Haval 2024 1.5T,Haval,哈弗大狗,2024,22000,Petrol,自动,12333,SUV,,,1.5T,5,国VI,上海港,FOB,8112,,,published,"che168 wap (car 58992129, 城市广州)"
JB-8160,理想L6 2024款 Pro,Li Auto L6 2024 Pro,Li Auto L6 2024 Pro,لي أوتو L6 Li Auto 2024 Pro,Li Auto,理想L6,2024,63000,插混,自动,22194,SUV,,,,5,国VI,上海港,FOB,8160,,,published,"che168 wap (car 58863814, 城市佛山)"
JB-8161,理想L6 2024款 Max,Li Auto L6 2024 Max,Li Auto L6 2024 Max,لي أوتو L6 Li Auto 2024 Max,Li Auto,理想L6,2024,77000,插混,自动,24028,SUV,,,,5,国VI,上海港,FOB,8161,,,published,"che168 wap (car 59045920, 城市石家庄)"
JB-8170,理想L7 2025款 Max 智能焕新版,Li Auto L7 2025 Max,Li Auto L7 2025 Max,لي أوتو L7 Li Auto 2025 Max,Li Auto,理想L7,2025,21000,插混,自动,35667,SUV,,,,5,国VI,上海港,FOB,8170,,,published,"che168 wap (car 59084441, 城市济南)"
JB-8171,理想L7 2025款 Max 智能焕新版,Li Auto L7 2025 Max,Li Auto L7 2025 Max,لي أوتو L7 Li Auto 2025 Max,Li Auto,理想L7,2025,43000,插混,自动,32222,SUV,,,,5,国VI,上海港,FOB,8171,,,published,"che168 wap (car 59125096, 城市成都)"
