stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-8100,宏光MINIEV 2021款 马卡龙夹心款 170km 磷酸铁锂,Wuling Hongguang Mini EV 2021 170km,Wuling Hongguang Mini EV 2021 170km,وولينغ هونغقوانغ ميني إي في Wuling 2021 170km,Wuling,宏光MINIEV,2021,30000,纯电,自动,2569,轿车,,,,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 58769287, 城市成都)"
JB-8101,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,وولينغ هونغقوانغ ميني إي في Wuling 2022 GAMEBOY 200km,Wuling,宏光MINIEV,2022,40000,纯电,自动,3306,轿车,,,,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 58831952, 城市常州)"
JB-8102,宏光MINIEV 2020款 悦享款 磷酸铁锂,Wuling Hongguang Mini EV 2020,Wuling Hongguang Mini EV 2020,وولينغ هونغقوانغ ميني إي في Wuling 2020,Wuling,宏光MINIEV,2020,41000,纯电,自动,2083,轿车,,,,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 59104104, 城市郑州)"
JB-8103,宏光MINIEV 2025款 第四代 四门版 进阶款,Wuling Hongguang Mini EV 2025,Wuling Hongguang Mini EV 2025,وولينغ هونغقوانغ ميني إي في Wuling 2025,Wuling,宏光MINIEV,2025,18000,纯电,自动,4417,轿车,,,,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 59254382, 城市泰州)"
JB-8100,艾瑞泽5 PLUS 2021款 小AI 1.5T CVT型PLUS,Chery Arrizo 5 PLUS 2021 1.5T,Chery Arrizo 5 PLUS 2021 1.5T,أريزو 5 Chery PLUS 2021 1.5T,Chery,艾瑞泽5,2021,60000,Petrol,自动,5111,SUV,,,1.5T,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 58144391, 城市武汉)"
JB-8101,艾瑞泽5 2019款 改款PRO 1.5L CVT青春版 国VI,Chery Arrizo 5 2019 1.5L,Chery Arrizo 5 2019 1.5L,أريزو 5 Chery 2019 1.5L,Chery,艾瑞泽5,2019,31500,Petrol,自动,4000,轿车,,,1.5L,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 59042969, 城市铜仁)"
JB-8102,艾瑞泽5 2019款 1.5L CVT新自在版 国VI,Chery Arrizo 5 2019 1.5L,Chery Arrizo 5 2019 1.5L,أريزو 5 Chery 2019 1.5L,Chery,艾瑞泽5,2019,81500,Petrol,自动,3306,轿车,,,1.5L,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 59072070, 城市南昌)"
JB-8103,艾瑞泽5 2024款 1.5L CVT风尚型,Chery Arrizo 5 2024 1.5L,Chery Arrizo 5 2024 1.5L,أريزو 5 Chery 2024 1.5L,Chery,艾瑞泽5,2024,40000,Petrol,自动,5389,轿车,,,1.5L,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 59111058, 城市天津)"
JB-8104,艾瑞泽5 PLUS 2023款 1.5L CVT享PLUS,Chery Arrizo 5 PLUS 2023 1.5L,Chery Arrizo 5 PLUS 2023 1.5L,أريزو 5 Chery PLUS 2023 1.5L,Chery,艾瑞泽5,2023,28000,Petrol,自动,5528,SUV,,,1.5L,5,国VI,上海港,FOB,8104,,,published,"che168 wap (car 59197838, 城市湖州)"
JB-8100,逸动 2024款 PLUS 蓝鲸NE 1.4T GDI DCT高能版,Changan Eado 2024 PLUS 1.4T GDI,Changan Eado 2024 PLUS 1.4T GDI,إيدو Changan 2024 PLUS 1.4T GDI,Changan,逸动,2024,20000,Petrol,自动,6778,SUV,,,1.4T,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 57893782, 城市东莞)"
JB-8102,逸动 2024款 1.5T GDI自动 旗舰型,Changan Eado 2024 1.5T,Changan Eado 2024 1.5T,إيدو Changan 2024 1.5T,Changan,逸动,2024,13000,Petrol,自动,6667,轿车,,,1.5T,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 58623790, 城市郑州)"
JB-8103,逸动 2020款 PLUS 蓝鲸NE 1.4T GDI DCT旗舰型,Changan Eado 2020 PLUS 1.4T GDI,Changan Eado 2020 PLUS 1.4T GDI,إيدو Changan 2020 PLUS 1.4T GDI,Changan,逸动,2020,58000,Petrol,自动,4153,SUV,,,1.4T,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 59098278, 城市贵阳)"
JB-8104,逸动 2023款 畅享版 PLUS 蓝鲸NE 1.4T GDI DCT尊贵版,Changan Eado 2023 PLUS 1.4T GDI,Changan Eado 2023 PLUS 1.4T GDI,إيدو Changan 2023 PLUS 1.4T GDI,Changan,逸动,2023,26300,Petrol,自动,7222,SUV,,,1.4T,5,国VI,上海港,FOB,8104,,,published,"che168 wap (car 59123009, 城市邯郸)"
