stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9320,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,65400,Petrol,自动,4000,轿车,,,,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 58998600, 城市杭州)"
JB-9321,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,87000,Petrol,自动,4806,轿车,,,,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 59016329, 城市广州)"
JB-9322,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,70000,Petrol,自动,4139,轿车,,,,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 59069555, 城市丽水)"
JB-9323,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,45000,Petrol,自动,5208,轿车,,,,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 59175353, 城市郑州)"
JB-9324,名爵ZS 2020款 180DVVT 自动UP,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,11000,Petrol,自动,4833,轿车,,,,5,国VI,上海港,FOB,8105,,,published,"che168 wap (car 59598090, 城市昆明)"
JB-9325,传祺GS3 2022款 POWER 270T 自动劲享版,GAC GS3 2022 POWER 270T,GAC GS3 2022 POWER 270T,جي إيه سي GS3 GAC 2022 POWER 270T,GAC,传祺GS3,2022,52800,Petrol,自动,6236,轿车,,,,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 58149493, 城市西安)"
JB-9326,传祺GS3 2019款 235T 自动精英版,GAC GS3 2019 235T,GAC GS3 2019 235T,جي إيه سي GS3 GAC 2019 235T,GAC,传祺GS3,2019,100000,Petrol,自动,4208,轿车,,,,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 58161116, 城市佛山)"
JB-9327,传祺GS3 2019款 235T 自动精英版,GAC GS3 2019 235T,GAC GS3 2019 235T,جي إيه سي GS3 GAC 2019 235T,GAC,传祺GS3,2019,82000,Petrol,自动,5250,轿车,,,,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 58239844, 城市盐城)"
JB-9328,传祺GS3 2021款 POWER 270T 自动劲享版,GAC GS3 2021 POWER 270T,GAC GS3 2021 POWER 270T,جي إيه سي GS3 GAC 2021 POWER 270T,GAC,传祺GS3,2021,35000,Petrol,自动,6500,轿车,,,,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 58974260, 城市东莞)"
JB-9329,传祺GS3 2021款 POWER 270T 自动红动版,GAC GS3 2021 POWER 270T,GAC GS3 2021 POWER 270T,جي إيه سي GS3 GAC 2021 POWER 270T,GAC,传祺GS3,2021,30000,Petrol,自动,4681,轿车,,,,5,国VI,上海港,FOB,8104,,,published,"che168 wap (car 59014740, 城市福州)"
JB-9330,传祺GS3 2019款 235T 自动精英版,GAC GS3 2019 235T,GAC GS3 2019 235T,جي إيه سي GS3 GAC 2019 235T,GAC,传祺GS3,2019,102000,Petrol,自动,3444,轿车,,,,5,国VI,上海港,FOB,8105,,,published,"che168 wap (car 59686937, 城市郑州)"
